"","Compound name","Ions","Chemical_formula","Measured_mass","Caculated_mass","Mass_difference","Reaction_equation","Pathway"
"25","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","putrescine + S-adenosyl-L-methioninamine  ->  spermidine + S-methyl-5'-thioadenosine + H+","spermidine biosynthesis I"
"26","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","agmatine + H2O  ->  urea + putrescine","putrescine biosynthesis IV"
"27","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","N-carbamoylputrescine + H2O + H+  ->  putrescine + CO2 + ammonia","putrescine biosynthesis II"
"28","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","L-ornithine + H+  ->  CO2 + putrescine","putrescine biosynthesis IV"
"29","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","putrescine + S-adenosyl-L-methioninamine  ->  spermidine + S-methyl-5'-thioadenosine + H+","spermidine biosynthesis I"
"30","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","agmatine + H2O  ->  urea + putrescine","putrescine biosynthesis IV"
"31","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","N-carbamoylputrescine + H2O + H+  ->  putrescine + CO2 + ammonia","putrescine biosynthesis II"
"32","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","L-ornithine + H+  ->  CO2 + putrescine","putrescine biosynthesis IV"
"33","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","putrescine + S-adenosyl-L-methioninamine  ->  spermidine + S-methyl-5'-thioadenosine + H+","spermidine biosynthesis I"
"34","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","agmatine + H2O  ->  urea + putrescine","putrescine biosynthesis IV"
"35","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","L-ornithine + H+  ->  CO2 + putrescine","putrescine biosynthesis IV"
"36","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","N-carbamoylputrescine + H2O + H+  ->  putrescine + CO2 + ammonia","putrescine biosynthesis II"
"37","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","putrescine + S-adenosyl-L-methioninamine  ->  spermidine + S-methyl-5'-thioadenosine + H+","spermidine biosynthesis I"
"38","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","agmatine + H2O  ->  urea + putrescine","putrescine biosynthesis IV"
"39","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","L-ornithine + H+  ->  CO2 + putrescine","putrescine biosynthesis IV"
"40","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","N-carbamoylputrescine + H2O + H+  ->  putrescine + CO2 + ammonia","putrescine biosynthesis II"
"41","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","putrescine + S-adenosyl-L-methioninamine  ->  spermidine + S-methyl-5'-thioadenosine + H+","spermidine biosynthesis I"
"42","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","agmatine + H2O  ->  urea + putrescine","putrescine biosynthesis IV"
"43","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","L-ornithine + H+  ->  CO2 + putrescine","putrescine biosynthesis IV"
"44","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","N-carbamoylputrescine + H2O + H+  ->  putrescine + CO2 + ammonia","putrescine biosynthesis II"
"45","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","putrescine + S-adenosyl-L-methionine  ->  S-adenosyl-L-homocysteine + N-methylputrescine + H+","N-methyl-delta1-pyrrolinium cation biosynthesis"
"46","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","putrescine + spermidine  ->  propane-1,3-diamine + sym-homospermidine","homospermidine biosynthesis"
"47","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","putrescine + S-adenosyl-L-methioninamine  ->  spermidine + S-methyl-5'-thioadenosine + H+","spermidine biosynthesis I"
"48","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","putrescine + oxygen + H2O  ->  ammonia + hydrogen peroxide + 4-aminobutanal + H+","putrescine degradation IV"
"49","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","spermidine + oxygen + H2O  ->  putrescine + 3-aminopropanal + hydrogen peroxide","spermine and spermidine degradation III"
"50","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","L-ornithine + H+  ->  CO2 + putrescine","putrescine biosynthesis IV"
"51","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","L-ornithine + H+  ->  CO2 + putrescine","putrescine biosynthesis III"
"52","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","agmatine + H2O  ->  urea + putrescine","putrescine biosynthesis IV"
"53","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","agmatine + H2O  ->  urea + putrescine","putrescine biosynthesis I"
"54","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","N-carbamoylputrescine + H2O + H+  ->  ammonia + CO2 + putrescine","superpathway of polyamine biosynthesis"
"55","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","N-carbamoylputrescine + H2O + H+  ->  ammonia + CO2 + putrescine","putrescine biosynthesis II"
"56","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","putrescine + S-adenosyl-L-methioninamine  ->  spermidine + S-methyl-5'-thioadenosine + H+","spermidine biosynthesis I"
"57","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","agmatine + H2O  ->  urea + putrescine","putrescine biosynthesis IV"
"58","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","L-ornithine + H+  ->  CO2 + putrescine","putrescine biosynthesis IV"
"59","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","N-carbamoylputrescine + H2O + H+  ->  putrescine + CO2 + ammonia","putrescine biosynthesis II"
"60","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","putrescine + S-adenosyl-L-methioninamine  ->  spermidine + S-methyl-5'-thioadenosine + H+","spermidine biosynthesis I"
"61","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","agmatine + H2O  ->  urea + putrescine","putrescine biosynthesis IV"
"62","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","N-carbamoylputrescine + H2O + H+  ->  putrescine + CO2 + ammonia","putrescine biosynthesis II"
"63","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","L-ornithine + H+  ->  CO2 + putrescine","putrescine biosynthesis IV"
"64","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","putrescine + S-adenosyl-L-methioninamine  ->  spermidine + S-methyl-5'-thioadenosine + H+","spermidine biosynthesis I"
"65","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","agmatine + H2O  ->  urea + putrescine","putrescine biosynthesis IV"
"66","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","L-ornithine + H+  ->  CO2 + putrescine","putrescine biosynthesis IV"
"67","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","L-ornithine + H+  ->  CO2 + putrescine","putrescine biosynthesis III"
"68","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","N-carbamoylputrescine + H2O + H+  ->  putrescine + CO2 + ammonia","putrescine biosynthesis II"
"69","pyrazolidine","[M+Na-2H]-","H8 C3 N2 ","93.08971429","93.04345627","0.0462580200000104","pyrazolidine  ->  2-pyrazoline + 2 H+","beta-pyrazole-1-ylalanine biosynthesis"
"70","pyrazolidine","[M+Na-2H]-","H8 C3 N2 ","93.08971429","93.04345627","0.0462580200000104","propane-1,3-diamine  ->  pyrazolidine + 4 H+","beta-pyrazole-1-ylalanine biosynthesis"
"71","3-aminopropanal","[M+Na-2H]-","H8 N1 O1 C3 ","95.07842857","95.03529688","0.0431316900000098","3-aminopropanal + NAD(P)+ + H2O  ->  beta-alanine + NAD(P)H + 2 H+","beta-alanine biosynthesis I"
"72","3-aminopropanal","[M+Na-2H]-","H8 N1 O1 C3 ","95.07842857","95.03529688","0.0431316900000098","3-aminopropanal + NAD(P)+ + H2O  ->  beta-alanine + NAD(P)H + 2 H+","beta-alanine biosynthesis I"
"73","3-aminopropanal","[M+Na-2H]-","H8 N1 O1 C3 ","95.07842857","95.03529688","0.0431316900000098","spermine + oxygen + H2O  ->  spermidine + 3-aminopropanal + hydrogen peroxide","spermine and spermidine degradation III"
"74","3-aminopropanal","[M+Na-2H]-","H8 N1 O1 C3 ","95.07842857","95.03529688","0.0431316900000098","spermidine + oxygen + H2O  ->  putrescine + 3-aminopropanal + hydrogen peroxide","spermine and spermidine degradation III"
"75","3-aminopropanal","[M+Na-2H]-","H8 N1 O1 C3 ","95.07842857","95.03529688","0.0431316900000098","propane-1,3-diamine + H2O + oxygen  ->  3-aminopropanal + ammonia + hydrogen peroxide + H+","beta-alanine biosynthesis I"
"76","3-aminopropanal","[M+Na-2H]-","H8 N1 O1 C3 ","95.07842857","95.03529688","0.0431316900000098","propane-1,3-diamine + H2O + oxygen  ->  3-aminopropanal + ammonia + hydrogen peroxide + H+","beta-alanine biosynthesis I"
"77","3-aminopropanal","[M+Na-2H]-","H8 N1 O1 C3 ","95.07842857","95.03529688","0.0431316900000098","3-aminopropanal + NAD(P)+ + H2O  ->  beta-alanine + NAD(P)H + 2 H+","beta-alanine biosynthesis I"
"78","3-aminopropanal","[M+Na-2H]-","H8 N1 O1 C3 ","95.07842857","95.03529688","0.0431316900000098","propane-1,3-diamine + H2O + oxygen  ->  3-aminopropanal + ammonia + hydrogen peroxide + H+","beta-alanine biosynthesis I"
"79","3-aminopropanal","[M+Na-2H]-","H8 N1 O1 C3 ","95.07842857","95.03529688","0.0431316900000098","3-aminopropanal + NAD(P)+ + H2O  ->  beta-alanine + NAD(P)H + 2 H+","beta-alanine biosynthesis I"
"80","3-aminopropanal","[M+Na-2H]-","H8 N1 O1 C3 ","95.07842857","95.03529688","0.0431316900000098","propane-1,3-diamine + H2O + oxygen  ->  3-aminopropanal + ammonia + hydrogen peroxide + H+","beta-alanine biosynthesis I"
"81","3-aminopropanal","[M+Na-2H]-","H8 N1 O1 C3 ","95.07842857","95.03529688","0.0431316900000098","3-aminopropanal + NAD(P)+ + H2O  ->  beta-alanine + NAD(P)H + 2 H+","beta-alanine biosynthesis I"
"82","3-aminopropanal","[M+Na-2H]-","H8 N1 O1 C3 ","95.07842857","95.03529688","0.0431316900000098","propane-1,3-diamine + H2O + oxygen  ->  3-aminopropanal + ammonia + hydrogen peroxide + H+","beta-alanine biosynthesis I"
"83","3-aminopropanal","[M+Na-2H]-","H8 N1 O1 C3 ","95.07842857","95.03529688","0.0431316900000098","3-aminopropanal + NAD(P)+ + H2O  ->  beta-alanine + NAD(P)H + 2 H+","beta-alanine biosynthesis I"
"84","3-aminopropanal","[M+Na-2H]-","H8 N1 O1 C3 ","95.07842857","95.03529688","0.0431316900000098","propane-1,3-diamine + H2O + oxygen  ->  3-aminopropanal + ammonia + hydrogen peroxide + H+","beta-alanine biosynthesis I"
"85","3-aminopropanal","[M+Na-2H]-","H8 N1 O1 C3 ","95.07842857","95.03529688","0.0431316900000098","3-aminopropanal + NAD(P)+ + H2O  ->  beta-alanine + NAD(P)H + 2 H+","beta-alanine biosynthesis I"
"86","3-aminopropanal","[M+Na-2H]-","H8 N1 O1 C3 ","95.07842857","95.03529688","0.0431316900000098","propane-1,3-diamine + H2O + oxygen  ->  3-aminopropanal + ammonia + hydrogen peroxide + H+","beta-alanine biosynthesis I"
"87","isobutanol","[M+Na-2H]-","H10 O1 C4 ","95.07842857","95.04787294","0.0305556300000092","isobutanol + NAD+  <-  isobutanal + NADH + H+","valine degradation II"
"88","3-aminopropanal","[M+Na-2H]-","H8 N1 O1 C3 ","95.07842857","95.03529688","0.0431316900000098","3-aminopropanal + NAD(P)+ + H2O  ->  beta-alanine + NAD(P)H + 2 H+","beta-alanine biosynthesis I"
"89","3-aminopropanal","[M+Na-2H]-","H8 N1 O1 C3 ","95.07842857","95.03529688","0.0431316900000098","propane-1,3-diamine + H2O + oxygen  ->  3-aminopropanal + ammonia + hydrogen peroxide + H+","beta-alanine biosynthesis I"
"90","3-aminopropanal","[M+Na-2H]-","H8 N1 O1 C3 ","95.07842857","95.03529688","0.0431316900000098","3-aminopropanal + NAD(P)+ + H2O  ->  beta-alanine + NAD(P)H + 2 H+","beta-alanine biosynthesis I"
"91","3-aminopropanal","[M+Na-2H]-","H8 N1 O1 C3 ","95.07842857","95.03529688","0.0431316900000098","3-aminopropanal + NAD(P)+ + H2O  ->  beta-alanine + NAD(P)H + 2 H+","beta-alanine biosynthesis I"
"92","3-aminopropanal","[M+Na-2H]-","H8 N1 O1 C3 ","95.07842857","95.03529688","0.0431316900000098","spermine + oxygen + H2O  ->  spermidine + 3-aminopropanal + hydrogen peroxide","spermine and spermidine degradation III"
"93","3-aminopropanal","[M+Na-2H]-","H8 N1 O1 C3 ","95.07842857","95.03529688","0.0431316900000098","spermidine + oxygen + H2O  ->  putrescine + 3-aminopropanal + hydrogen peroxide","spermine and spermidine degradation III"
"94","3-aminopropanal","[M+Na-2H]-","H8 N1 O1 C3 ","95.07842857","95.03529688","0.0431316900000098","propane-1,3-diamine + H2O + oxygen  ->  3-aminopropanal + ammonia + hydrogen peroxide + H+","beta-alanine biosynthesis I"
"95","3-aminopropanal","[M+Na-2H]-","H8 N1 O1 C3 ","95.07842857","95.03529688","0.0431316900000098","propane-1,3-diamine + H2O + oxygen  ->  3-aminopropanal + ammonia + hydrogen peroxide + H+","beta-alanine biosynthesis I"
"96","n-butanol","[M+Na-2H]-","H10 C4 O1 ","95.07842857","95.04787294","0.0305556300000092","n-butanol + acetyl-CoA  ->  butyl acetate + coenzyme A","volatile esters biosynthesis (during fruit ripening)"
"97","isobutanol","[M+Na-2H]-","H10 O1 C4 ","95.07842857","95.04787294","0.0305556300000092","isobutanol + NAD+  <-  isobutanal + NADH + H+","valine degradation II"
"98","3-aminopropanal","[M+Na-2H]-","H8 N1 O1 C3 ","95.07842857","95.03529688","0.0431316900000098","3-aminopropanal + NAD(P)+ + H2O  ->  beta-alanine + NAD(P)H + 2 H+","beta-alanine biosynthesis I"
"99","3-aminopropanal","[M+Na-2H]-","H8 N1 O1 C3 ","95.07842857","95.03529688","0.0431316900000098","propane-1,3-diamine + H2O + oxygen  ->  3-aminopropanal + ammonia + hydrogen peroxide + H+","beta-alanine biosynthesis I"
"100","3-aminopropanal","[M+Na-2H]-","H8 N1 O1 C3 ","95.07842857","95.03529688","0.0431316900000098","3-aminopropanal + NAD(P)+ + H2O  ->  beta-alanine + NAD(P)H + 2 H+","beta-alanine biosynthesis I"
"101","3-aminopropanal","[M+Na-2H]-","H8 N1 O1 C3 ","95.07842857","95.03529688","0.0431316900000098","propane-1,3-diamine + H2O + oxygen  ->  3-aminopropanal + ammonia + hydrogen peroxide + H+","beta-alanine biosynthesis I"
"102","3-aminopropanal","[M+Na-2H]-","H8 N1 O1 C3 ","95.07842857","95.03529688","0.0431316900000098","3-aminopropanal + NAD(P)+ + H2O  ->  beta-alanine + NAD(P)H + 2 H+","beta-alanine biosynthesis I"
"103","3-aminopropanal","[M+Na-2H]-","H8 N1 O1 C3 ","95.07842857","95.03529688","0.0431316900000098","propane-1,3-diamine + H2O + oxygen  ->  3-aminopropanal + ammonia + hydrogen peroxide + H+","beta-alanine biosynthesis I"
"104","betaine aldehyde","[M-H]-","H12 O1 C5 N1 ","101.0633333","101.084617","0.0212836999999979","betaine aldehyde + NAD+ + H2O  ->  glycine betaine + NADH + 2 H+","glycine betaine biosynthesis III (plants)"
"105","betaine aldehyde","[M-H]-","H12 O1 C5 N1 ","101.0633333","101.084617","0.0212836999999979","betaine aldehyde hydrate  ->  betaine aldehyde + H2O","glycine betaine biosynthesis III (plants)"
"106","betaine aldehyde","[M-H]-","H12 O1 C5 N1 ","101.0633333","101.084617","0.0212836999999979","betaine aldehyde + NAD+ + H2O  ->  glycine betaine + NADH + 2 H+","glycine betaine biosynthesis III (plants)"
"107","betaine aldehyde","[M-H]-","H12 O1 C5 N1 ","101.0633333","101.084617","0.0212836999999979","betaine aldehyde hydrate  ->  betaine aldehyde + H2O","glycine betaine biosynthesis III (plants)"
"108","betaine aldehyde","[M-H]-","H12 O1 C5 N1 ","101.0633333","101.084617","0.0212836999999979","betaine aldehyde + NAD+ + H2O  ->  glycine betaine + NADH + 2 H+","glycine betaine biosynthesis III (plants)"
"109","betaine aldehyde","[M-H]-","H12 O1 C5 N1 ","101.0633333","101.084617","0.0212836999999979","betaine aldehyde hydrate  ->  betaine aldehyde + H2O","glycine betaine biosynthesis III (plants)"
"110","betaine aldehyde","[M-H]-","H12 O1 C5 N1 ","101.0633333","101.084617","0.0212836999999979","betaine aldehyde + NAD+ + H2O  ->  glycine betaine + NADH + 2 H+","glycine betaine biosynthesis III (plants)"
"111","betaine aldehyde","[M-H]-","H12 O1 C5 N1 ","101.0633333","101.084617","0.0212836999999979","betaine aldehyde hydrate  ->  betaine aldehyde + H2O","glycine betaine biosynthesis III (plants)"
"112","betaine aldehyde","[M-H]-","H12 O1 C5 N1 ","101.0633333","101.084617","0.0212836999999979","betaine aldehyde + NAD+ + H2O  ->  glycine betaine + NADH + 2 H+","glycine betaine biosynthesis III (plants)"
"113","betaine aldehyde","[M-H]-","H12 O1 C5 N1 ","101.0633333","101.084617","0.0212836999999979","betaine aldehyde hydrate  ->  betaine aldehyde + H2O","glycine betaine biosynthesis III (plants)"
"114","betaine aldehyde","[M-H]-","H12 O1 C5 N1 ","101.0633333","101.084617","0.0212836999999979","betaine aldehyde + NAD+ + H2O  ->  glycine betaine + NADH + 2 H+","glycine betaine biosynthesis III (plants)"
"115","betaine aldehyde","[M-H]-","H12 O1 C5 N1 ","101.0633333","101.084617","0.0212836999999979","betaine aldehyde hydrate  ->  betaine aldehyde + H2O","glycine betaine biosynthesis III (plants)"
"116","N-methylaminobutanal","[M-H]-","H12 O1 C5 N1 ","101.0633333","101.084617","0.0212836999999979","N-methylaminobutanal  ->  N-methyl-delta1-pyrrolinium cation + H2O","N-methyl-delta1-pyrrolinium cation biosynthesis"
"117","N-methylaminobutanal","[M-H]-","H12 O1 C5 N1 ","101.0633333","101.084617","0.0212836999999979","N-methylputrescine + H2O + oxygen  ->  N-methylaminobutanal + ammonia + hydrogen peroxide + H+","N-methyl-delta1-pyrrolinium cation biosynthesis"
"118","betaine aldehyde","[M-H]-","H12 O1 C5 N1 ","101.0633333","101.084617","0.0212836999999979","betaine aldehyde + NAD+ + H2O  ->  glycine betaine + NADH + 2 H+","glycine betaine biosynthesis III (plants)"
"119","betaine aldehyde","[M-H]-","H12 O1 C5 N1 ","101.0633333","101.084617","0.0212836999999979","betaine aldehyde hydrate  ->  betaine aldehyde + H2O","glycine betaine biosynthesis III (plants)"
"120","betaine aldehyde","[M-H]-","H12 O1 C5 N1 ","101.0633333","101.084617","0.0212836999999979","betaine aldehyde + NAD+ + H2O  ->  glycine betaine + NADH + 2 H+","glycine betaine biosynthesis III (plants)"
"121","betaine aldehyde","[M-H]-","H12 O1 C5 N1 ","101.0633333","101.084617","0.0212836999999979","betaine aldehyde hydrate  ->  betaine aldehyde + H2O","glycine betaine biosynthesis III (plants)"
"122","betaine aldehyde","[M-H]-","H12 O1 C5 N1 ","101.0633333","101.084617","0.0212836999999979","betaine aldehyde + NAD+ + H2O  ->  glycine betaine + NADH + 2 H+","glycine betaine biosynthesis III (plants)"
"123","betaine aldehyde","[M-H]-","H12 O1 C5 N1 ","101.0633333","101.084617","0.0212836999999979","betaine aldehyde hydrate  ->  betaine aldehyde + H2O","glycine betaine biosynthesis III (plants)"
"124","betaine aldehyde","[M-H]-","H12 O1 C5 N1 ","101.0633333","101.084617","0.0212836999999979","betaine aldehyde + NAD+ + H2O  ->  glycine betaine + NADH + 2 H+","glycine betaine biosynthesis III (plants)"
"125","betaine aldehyde","[M-H]-","H12 O1 C5 N1 ","101.0633333","101.084617","0.0212836999999979","betaine aldehyde hydrate  ->  betaine aldehyde + H2O","glycine betaine biosynthesis III (plants)"
"126","2-methylpropionitrile","[M+K-2H]-","H7 C4 N1 ","105.9605","106.00646723","0.0459672300000022","2-methylpropionitrile + NADPH + oxygen + H+  ->  acetone cyanohydrin + NADP+ + H2O","linamarin biosynthesis"
"127","2-methylpropionitrile","[M+K-2H]-","H7 C4 N1 ","105.9605","106.00646723","0.0459672300000022","(Z)-2-methylpropanal-oxime + NADPH  ->  2-methylpropionitrile + NADP+ + H2O + H+","linamarin biosynthesis"
"128","2-methylpropionitrile","[M+K-2H]-","H7 C4 N1 ","105.9605","106.00646723","0.0459672300000022","2-methylpropionitrile + NADPH + oxygen + H+  ->  acetone cyanohydrin + NADP+ + H2O","linamarin biosynthesis"
"129","2-methylpropionitrile","[M+K-2H]-","H7 C4 N1 ","105.9605","106.00646723","0.0459672300000022","(Z)-2-methylpropanal-oxime + NADPH  ->  2-methylpropionitrile + NADP+ + H2O + H+","linamarin biosynthesis"
"130","5,6-dihydrouracil","[M-H]-","H6 O2 C4 N2 ","113.0427778","113.0356554","0.00712240000000008","5,6-dihydrouracil + H2O  ->  3-ureidopropionate + H+","uracil degradation II (reductive)"
"131","5,6-dihydrouracil","[M-H]-","H6 O2 C4 N2 ","113.0427778","113.0356554","0.00712240000000008","NADP+ + 5,6-dihydrouracil  <-  NADPH + uracil + H+","uracil degradation II (reductive)"
"132","fumarate","[M-H]-","H2 C4 O4 ","113.0427778","112.9880365","0.0547413000000034","fumarate[in] + 2 H+[in] + 2 e-  ->  succinate[in]","succinate + a ubiquinone  ->  a ubiquinol + fumarate"
"133","fumarate","[M-H]-","H2 C4 O4 ","113.0427778","112.9880365","0.0547413000000034","succinate + a ubiquinone  ->  a ubiquinol + fumarate","TCA cycle variation V (plant)"
"134","fumarate","[M-H]-","H2 C4 O4 ","113.0427778","112.9880365","0.0547413000000034","succinate + a ubiquinone  ->  a ubiquinol + fumarate","superpathway of glyoxylate cycle and fatty acid degradation"
